GN_ID,Gene_Name,log2FC(insoluble/soluble protein ratio), -LOG10(P-VALUE),Protein_ID
Stac3_sp|Q8BZ71|STAC3_MOUSE,Stac3,-0.300078965895104,1.35212610169636,Q8BZ71
Rars2_sp|Q3U186|SYRM_MOUSE,Rars2,-0.300501148674564,1.41546567914788,Q3U186
Ikbkap_sp|Q7TT37|ELP1_MOUSE,Ikbkap,-0.301166777409161,2.06970702956609,Q7TT37
Abcc1_sp|O35379|MRP1_MOUSE,Abcc1,-0.303120298694949,1.81116502127166,O35379
Stac3_sp|Q8BZ71|STAC3_MOUSE,Stac3,-0.305627553959637,1.37990864269761,Q8BZ71
Akt1_sp|P31750|AKT1_MOUSE,Akt1,-0.307649081097743,1.67555723612586,P31750
Canx_sp|P35564|CALX_MOUSE,Canx,-0.312454973936737,2.3228913859299,P35564
Map1b_sp|P14873|MAP1B_MOUSE,Map1b,-0.312562405291133,1.61489117433869,P14873
Mprip_tr|Q5SWZ5|Q5SWZ5_MOUSE,Mprip,-0.313757372336431,1.31930963775335,Q5SWZ5
Vps51_sp|Q3UVL4|VPS51_MOUSE,Vps51,-0.313909898349655,1.47720302325303,Q3UVL4
Nup35_sp|Q8R4R6|NUP53_MOUSE,Nup35,-0.314830880293741,1.36020896637474,Q8R4R6
Myo18a_sp|Q9JMH9|MY18A_MOUSE,Myo18a,-0.31605180212464,1.33619083989947,Q9JMH9
Asl_sp|Q91YI0|ARLY_MOUSE,Asl,-0.32080459312598,1.65500508866657,Q91YI0
Mylk_sp|Q6PDN3|MYLK_MOUSE,Mylk,-0.323279979694598,2.90621428652928,Q6PDN3
Nmral1_sp|Q8K2T1|NMRL1_MOUSE,Nmral1,-0.323514391091408,1.3317854036264,Q8K2T1
Nup54_sp|Q8BTS4|NUP54_MOUSE,Nup54,-0.325919547147983,1.46515490324525,Q8BTS4
Akt2_sp|Q60823|AKT2_MOUSE,Akt2,-0.327156487582685,1.8617760534123,Q60823
Ubr3_sp|Q5U430|UBR3_MOUSE,Ubr3,-0.328417149100241,1.6195509868643,Q5U430
Pi4ka_tr|E9Q3L2|E9Q3L2_MOUSE,Pi4ka,-0.333872139609535,1.78911431384544,E9Q3L2
Cnn2_sp|Q08093|CNN2_MOUSE,Cnn2,-0.335579698310699,1.57003733767136,Q08093
Ephx1_sp|Q9D379|HYEP_MOUSE,Ephx1,-0.336603124128009,1.45434600446875,Q9D379
Hnrnpd_sp|Q60668-3|HNRPD_MOUSE,Hnrnpd,-0.338166508989322,1.32317375014268,Q60668-3
Gnao1_sp|P18872|GNAO_MOUSE,Gnao1,-0.340797835924433,1.31660869785222,P18872
Ubr3_sp|Q5U430|UBR3_MOUSE,Ubr3,-0.342558116966183,1.708085940688,Q5U430
Triobp_sp|Q99KW3|TARA_MOUSE,Triobp,-0.345730457670514,1.34351253776209,Q99KW3
