"","ontology_id","ontology_name","nr_common_with_tested_elements","p_value","adjusted_p_value","gene_in_pathway","protein"
"1","GO:0045596","negative regulation of cell differentiation",3,0.00252947147613408,0.676095138323051,"Apcs#Cers2#Cav3","Apcs_sp|P12246|SAMP_MOUSE#Cers2_sp|Q924Z4|CERS2_MOUSE#Cav3_sp|P51637|CAV3_MOUSE"
"2","GO:0015291","secondary active transmembrane transporter activity",2,0.00270137730460921,0.676095138323051,"Ghitm#Mcu","Ghitm_sp|Q91VC9|GHITM_MOUSE#Mcu_sp|Q3UMR5|MCU_MOUSE"
"3","GO:0009888","tissue development",9,0.00317204558536326,0.676095138323051,"Mylk#Fbxo22#Akt1#Col11a1#Mstn#Chd7#Col1a1#Lama5#Cav3","Mylk_sp|Q6PDN3|MYLK_MOUSE#Fbxo22_sp|Q78JE5|FBX22_MOUSE#Akt1_sp|P31750|AKT1_MOUSE#Col11a1_sp|Q61245|COBA1_MOUSE#Mstn_sp|O08689|GDF8_MOUSE#Chd7_sp|A2AJK6|CHD7_MOUSE#Col1a1_sp|P11087|CO1A1_MOUSE#Lama5_sp|Q61001|LAMA5_MOUSE#Cav3_sp|P51637|CAV3_MOUSE"
"4","GO:0030036","actin cytoskeleton organization",6,0.00405280081340034,0.676095138323051,"Dpysl3#Sh3bp1#Jmy#Cav3#Mcu#Coro1a","Dpysl3_sp|Q62188|DPYL3_MOUSE#Sh3bp1_tr|A2A5V2|A2A5V2_MOUSE#Jmy_sp|Q9QXM1|JMY_MOUSE#Cav3_sp|P51637|CAV3_MOUSE#Mcu_sp|Q3UMR5|MCU_MOUSE#Coro1a_sp|O89053|COR1A_MOUSE"
"5","GO:0005581","collagen trimer",2,0.00506987444126237,0.676095138323051,"Col11a1#Col1a1","Col11a1_sp|Q61245|COBA1_MOUSE#Col1a1_sp|P11087|CO1A1_MOUSE"
"6","GO:0005583","fibrillar collagen trimer",2,0.00506987444126237,0.676095138323051,"Col11a1#Col1a1","Col11a1_sp|Q61245|COBA1_MOUSE#Col1a1_sp|P11087|CO1A1_MOUSE"
"7","GO:0098643","banded collagen fibril",2,0.00506987444126237,0.676095138323051,"Col11a1#Col1a1","Col11a1_sp|Q61245|COBA1_MOUSE#Col1a1_sp|P11087|CO1A1_MOUSE"
"8","GO:0098644","complex of collagen trimers",2,0.00506987444126237,0.676095138323051,"Col11a1#Col1a1","Col11a1_sp|Q61245|COBA1_MOUSE#Col1a1_sp|P11087|CO1A1_MOUSE"
"9","GO:0070588","calcium ion transmembrane transport",3,0.00636330618160998,0.676095138323051,"Ghitm#Cav3#Akt1","Ghitm_sp|Q91VC9|GHITM_MOUSE#Cav3_sp|P51637|CAV3_MOUSE#Akt1_sp|P31750|AKT1_MOUSE"
"10","GO:0007010","cytoskeleton organization",7,0.00652614908266944,0.676095138323051,"Dpysl3#Sh3bp1#Mcu#Jmy#Cav3#Map1s#Coro1a","Dpysl3_sp|Q62188|DPYL3_MOUSE#Sh3bp1_tr|A2A5V2|A2A5V2_MOUSE#Mcu_sp|Q3UMR5|MCU_MOUSE#Jmy_sp|Q9QXM1|JMY_MOUSE#Cav3_sp|P51637|CAV3_MOUSE#Map1s_sp|Q8C052|MAP1S_MOUSE#Coro1a_sp|O89053|COR1A_MOUSE"
"11","GO:0097435","fibril organization",7,0.00652614908266944,0.676095138323051,"Dpysl3#Sh3bp1#Mcu#Jmy#Cav3#Map1s#Coro1a","Dpysl3_sp|Q62188|DPYL3_MOUSE#Sh3bp1_tr|A2A5V2|A2A5V2_MOUSE#Mcu_sp|Q3UMR5|MCU_MOUSE#Jmy_sp|Q9QXM1|JMY_MOUSE#Cav3_sp|P51637|CAV3_MOUSE#Map1s_sp|Q8C052|MAP1S_MOUSE#Coro1a_sp|O89053|COR1A_MOUSE"
"12","GO:0036457","keratohyalin granule",1,0.00725687620003398,0.676095138323051,"Hrnr","Hrnr_sp|Q8VHD8|HORN_MOUSE"
"13","GO:0043163","cell envelope organization",1,0.00725687620003398,0.676095138323051,"Hrnr","Hrnr_sp|Q8VHD8|HORN_MOUSE"
"14","GO:0045229","external encapsulating structure organization",1,0.00725687620003398,0.676095138323051,"Hrnr","Hrnr_sp|Q8VHD8|HORN_MOUSE"
"15","GO:0048738","cardiac muscle tissue development",2,0.00729914926527689,0.676095138323051,"Chd7#Cav3","Chd7_sp|A2AJK6|CHD7_MOUSE#Cav3_sp|P51637|CAV3_MOUSE"
"16","GO:0001508","action potential",2,0.00787728150580159,0.676095138323051,"Cav3#Grin2a","Cav3_sp|P51637|CAV3_MOUSE#Grin2a_sp|P35436|NMDE1_MOUSE"
"17","GO:0022804","active transmembrane transporter activity",3,0.0079173430828792,0.676095138323051,"Ghitm#Abcc1#Mcu","Ghitm_sp|Q91VC9|GHITM_MOUSE#Abcc1_sp|O35379|MRP1_MOUSE#Mcu_sp|Q3UMR5|MCU_MOUSE"
"18","GO:0010466","negative regulation of peptidase activity",2,0.0118213178278137,0.676095138323051,"Serpina1a#Pak2","Serpina1a_sp|P07758|A1AT1_MOUSE#Pak2_sp|Q8CIN4|PAK2_MOUSE"
"19","GO:0010951","negative regulation of endopeptidase activity",2,0.0118213178278137,0.676095138323051,"Serpina1a#Pak2","Serpina1a_sp|P07758|A1AT1_MOUSE#Pak2_sp|Q8CIN4|PAK2_MOUSE"
"20","GO:0052548","regulation of endopeptidase activity",2,0.0118213178278137,0.676095138323051,"Serpina1a#Pak2","Serpina1a_sp|P07758|A1AT1_MOUSE#Pak2_sp|Q8CIN4|PAK2_MOUSE"
