Protein Group#,Protein Accession #,Protein Description,GN,Protein_ID
SJPG102208.001,sp|A2A432|CUL4B_MOUSE,Cullin-4B OS=Mus musculus GN=Cul4b PE=1 SV=1,Cul4b,A2A432
SJPG104379.001,sp|A2A5R2|BIG2_MOUSE,Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Mus musculus GN=Arfgef2 PE=1 SV=1,Arfgef2,A2A5R2
SJPG106459.001,sp|A2A791|ZMYM4_MOUSE,Zinc finger MYM-type protein 4 OS=Mus musculus GN=Zmym4 PE=2 SV=1,Zmym4,A2A791
SJPG111204.002,sp|A2A863-2|ITB4_MOUSE,Isoform 2 of Integrin beta-4 OS=Mus musculus GN=Itgb4,Itgb4,A2A863-2
SJPG111204.001,sp|A2A863|ITB4_MOUSE,Integrin beta-4 OS=Mus musculus GN=Itgb4 PE=2 SV=1,Itgb4,A2A863
SJPG106381.001,sp|A2A891|CMTA1_MOUSE,Calmodulin-binding transcription activator 1 OS=Mus musculus GN=Camta1 PE=2 SV=1,Camta1,A2A891
SJPG106289.001,sp|A2A8U2|TM201_MOUSE,Transmembrane protein 201 OS=Mus musculus GN=Tmem201 PE=2 SV=1,Tmem201,A2A8U2
SJPG102633.001,sp|A2A8Z1|OSBL9_MOUSE,Oxysterol-binding protein-related protein 9 OS=Mus musculus GN=Osbpl9 PE=1 SV=1,Osbpl9,A2A8Z1
SJPG107001.001,sp|A2AAE1|K1109_MOUSE,Uncharacterized protein KIAA1109 OS=Mus musculus GN=Kiaa1109 PE=1 SV=4,Kiaa1109,A2AAE1
SJPG112679.001,sp|A2AAJ9|OBSCN_MOUSE,Obscurin OS=Mus musculus GN=Obscn PE=2 SV=2,Obscn,A2AAJ9
SJPG118371.001,sp|A2ABU4|MYOM3_MOUSE,Myomesin-3 OS=Mus musculus GN=Myom3 PE=1 SV=1,Myom3,A2ABU4
SJPG105862.001,sp|A2ADY9|DDI2_MOUSE,Protein DDI1 homolog 2 OS=Mus musculus GN=Ddi2 PE=1 SV=1,Ddi2,A2ADY9
SJPG111662.001,sp|A2AGL3|RYR3_MOUSE,Ryanodine receptor 3 OS=Mus musculus GN=Ryr3 PE=1 SV=1,Ryr3,A2AGL3
SJPG102458.001,sp|A2AGT5|CKAP5_MOUSE,Cytoskeleton-associated protein 5 OS=Mus musculus GN=Ckap5 PE=2 SV=1,Ckap5,A2AGT5
SJPG102290.001,sp|A2AHC3|CAMP1_MOUSE,Calmodulin-regulated spectrin-associated protein 1 OS=Mus musculus GN=Camsap1 PE=1 SV=1,Camsap1,A2AHC3
SJPG113608.001,sp|A2AJ76|HMCN2_MOUSE,Hemicentin-2 OS=Mus musculus GN=Hmcn2 PE=2 SV=1,Hmcn2,A2AJ76
SJPG105056.001,sp|A2AJ88|PLPL7_MOUSE,Patatin-like phospholipase domain-containing protein 7 OS=Mus musculus GN=Pnpla7 PE=1 SV=1,Pnpla7,A2AJ88
SJPG102591.001,sp|A2AJI0|MA7D1_MOUSE,MAP7 domain-containing protein 1 OS=Mus musculus GN=Map7d1 PE=1 SV=1,Map7d1,A2AJI0
SJPG110705.001,sp|A2AJK6|CHD7_MOUSE,Chromodomain-helicase-DNA-binding protein 7 OS=Mus musculus GN=Chd7 PE=1 SV=1,Chd7,A2AJK6
SJPG106963.001,sp|A2AKG8|FOCAD_MOUSE,Focadhesin OS=Mus musculus GN=Focad PE=2 SV=1,Focad,A2AKG8
SJPG108545.001,sp|A2ALK8|PTN3_MOUSE,Tyrosine-protein phosphatase non-receptor type 3 OS=Mus musculus GN=Ptpn3 PE=2 SV=1,Ptpn3,A2ALK8
SJPG105763.001,sp|A2ALW5|DJC25_MOUSE,DnaJ homolog subfamily C member 25 OS=Mus musculus GN=Dnajc25 PE=2 SV=1,Dnajc25,A2ALW5
SJPG109647.001,sp|A2AM29|AF9_MOUSE,Protein AF-9 OS=Mus musculus GN=Mllt3 PE=1 SV=1,Mllt3,A2AM29
SJPG118337.001,sp|A2AMM0|MURC_MOUSE,Muscle-related coiled-coil protein OS=Mus musculus GN=Murc PE=2 SV=1,Murc,A2AMM0
SJPG103941.001,sp|A2AN08|UBR4_MOUSE,E3 ubiquitin-protein ligase UBR4 OS=Mus musculus GN=Ubr4 PE=1 SV=1,Ubr4,A2AN08
SJPG100800.001,sp|A2APV2|FMNL2_MOUSE,Formin-like protein 2 OS=Mus musculus GN=Fmnl2 PE=2 SV=2,Fmnl2,A2APV2
SJPG105608.001,sp|A2APY7|NDUF5_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 OS=Mus musculus GN=Ndufaf5 PE=2 SV=1,Ndufaf5,A2APY7
SJPG103817.001,sp|A2AQ07|TBB1_MOUSE,Tubulin beta-1 chain OS=Mus musculus GN=Tubb1 PE=1 SV=1,Tubb1,A2AQ07
SJPG102123.001,sp|A2AQ25|SKT_MOUSE,Sickle tail protein OS=Mus musculus GN=Skt PE=1 SV=1,Skt,A2AQ25
SJPG113117.001,sp|A2AQP0|MYH7B_MOUSE,Myosin-7B OS=Mus musculus GN=Myh7b PE=3 SV=1,Myh7b,A2AQP0
SJPG103461.001,sp|A2ARP1|VIP1_MOUSE,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1 OS=Mus musculus GN=Ppip5k1 PE=2 SV=1,Ppip5k1,A2ARP1
SJPG106452.001,sp|A2ASQ1|AGRIN_MOUSE,Agrin OS=Mus musculus GN=Agrn PE=1 SV=1,Agrn,A2ASQ1
SJPG113194.002,sp|A2ASS6-2|TITIN_MOUSE,Isoform 2 of Titin OS=Mus musculus GN=Ttn,Ttn,A2ASS6-2
SJPG113194.003,sp|A2ASS6-3|TITIN_MOUSE,Isoform 3 of Titin OS=Mus musculus GN=Ttn,Ttn,A2ASS6-3
SJPG113194.001,sp|A2ASS6|TITIN_MOUSE,Titin OS=Mus musculus GN=Ttn PE=1 SV=1,Ttn,A2ASS6
