"","ontology_id","ontology_name","nr_common_with_tested_elements","p_value","adjusted_p_value","gene_in_pathway","protein"
"1","M7272","KEGG_PARKINSONS_DISEASE",16,1.71457523427939e-10,2.19465629987762e-08,"Atp5a1#Atp5d#Atp5h#Atp5o#Cox4i1#Cox5a#Cox5b#Cox6b1#Cox6c#Cox7a2#Cox7c#mt-Co3#Ppid#Ube2l3#Vdac2#Vdac3","Atp5a1_sp|Q03265|ATPA_MOUSE#Atp5d_sp|Q9D3D9|ATPD_MOUSE#Atp5h_sp|Q9DCX2|ATP5H_MOUSE#Atp5o_sp|Q9DB20|ATPO_MOUSE#Cox4i1_sp|P19783|COX41_MOUSE#Cox5a_sp|P12787|COX5A_MOUSE#Cox5b_sp|P19536|COX5B_MOUSE#Cox6b1_sp|P56391|CX6B1_MOUSE#Cox6c_sp|Q9CPQ1|COX6C_MOUSE#Cox7a2_sp|P48771|CX7A2_MOUSE#Cox7c_sp|P17665|COX7C_MOUSE#mt-Co3_sp|P00416|COX3_MOUSE#Ppid_sp|Q9CR16|PPID_MOUSE#Ube2l3_sp|P68037|UB2L3_MOUSE#Vdac2_sp|Q60930|VDAC2_MOUSE#Vdac3_sp|Q60931|VDAC3_MOUSE"
"2","M13486","KEGG_HUNTINGTONS_DISEASE",19,2.05027664221923e-09,1.15634668636327e-07,"Atp5a1#Atp5d#Atp5h#Atp5o#Cltc#Cox4i1#Cox5a#Cox5b#Cox6b1#Cox6c#Cox7a2#Cox7c#Dctn1#Dctn2#Itpr1#mt-Co3#Ppid#Vdac2#Vdac3","Atp5a1_sp|Q03265|ATPA_MOUSE#Atp5d_sp|Q9D3D9|ATPD_MOUSE#Atp5h_sp|Q9DCX2|ATP5H_MOUSE#Atp5o_sp|Q9DB20|ATPO_MOUSE#Cltc_tr|F6Z1R4|F6Z1R4_MOUSE#Cox4i1_sp|P19783|COX41_MOUSE#Cox5a_sp|P12787|COX5A_MOUSE#Cox5b_sp|P19536|COX5B_MOUSE#Cox6b1_sp|P56391|CX6B1_MOUSE#Cox6c_sp|Q9CPQ1|COX6C_MOUSE#Cox7a2_sp|P48771|CX7A2_MOUSE#Cox7c_sp|P17665|COX7C_MOUSE#Dctn1_sp|O08788|DCTN1_MOUSE#Dctn2_sp|Q99KJ8|DCTN2_MOUSE#Itpr1_sp|P11881|ITPR1_MOUSE#mt-Co3_sp|P00416|COX3_MOUSE#Ppid_sp|Q9CR16|PPID_MOUSE#Vdac2_sp|Q60930|VDAC2_MOUSE#Vdac3_sp|Q60931|VDAC3_MOUSE"
"3","M19540","KEGG_OXIDATIVE_PHOSPHORYLATION",14,2.71018754616392e-09,1.15634668636327e-07,"Atp5a1#Atp5d#Atp5h#Atp5o#Atp6v1e1#Cox15#Cox4i1#Cox5a#Cox5b#Cox6b1#Cox6c#Cox7a2#Cox7c#mt-Co3","Atp5a1_sp|Q03265|ATPA_MOUSE#Atp5d_sp|Q9D3D9|ATPD_MOUSE#Atp5h_sp|Q9DCX2|ATP5H_MOUSE#Atp5o_sp|Q9DB20|ATPO_MOUSE#Atp6v1e1_sp|P50518|VATE1_MOUSE#Cox15_sp|Q8BJ03|COX15_MOUSE#Cox4i1_sp|P19783|COX41_MOUSE#Cox5a_sp|P12787|COX5A_MOUSE#Cox5b_sp|P19536|COX5B_MOUSE#Cox6b1_sp|P56391|CX6B1_MOUSE#Cox6c_sp|Q9CPQ1|COX6C_MOUSE#Cox7a2_sp|P48771|CX7A2_MOUSE#Cox7c_sp|P17665|COX7C_MOUSE#mt-Co3_sp|P00416|COX3_MOUSE"
"4","M17673","KEGG_CARDIAC_MUSCLE_CONTRACTION",11,2.19814979716502e-08,7.03407935092805e-07,"Cox4i1#Cox5a#Cox5b#Cox6b1#Cox6c#Cox7a2#Cox7c#mt-Co3#Tpm1#Tpm2#Tpm3","Cox4i1_sp|P19783|COX41_MOUSE#Cox5a_sp|P12787|COX5A_MOUSE#Cox5b_sp|P19536|COX5B_MOUSE#Cox6b1_sp|P56391|CX6B1_MOUSE#Cox6c_sp|Q9CPQ1|COX6C_MOUSE#Cox7a2_sp|P48771|CX7A2_MOUSE#Cox7c_sp|P17665|COX7C_MOUSE#mt-Co3_sp|P00416|COX3_MOUSE#Tpm1_tr|F8WID5|F8WID5_MOUSE#Tpm2_sp|P58774-2|TPM2_MOUSE#Tpm3_sp|P21107|TPM3_MOUSE"
"5","M16024","KEGG_ALZHEIMERS_DISEASE",16,4.26126872198786e-07,1.09088479282889e-05,"Atp5a1#Atp5d#Atp5h#Atp5o#Cox4i1#Cox5a#Cox5b#Cox6b1#Cox6c#Cox7a2#Cox7c#Grin2a#Itpr1#Itpr2#mt-Co3#Nos1","Atp5a1_sp|Q03265|ATPA_MOUSE#Atp5d_sp|Q9D3D9|ATPD_MOUSE#Atp5h_sp|Q9DCX2|ATP5H_MOUSE#Atp5o_sp|Q9DB20|ATPO_MOUSE#Cox4i1_sp|P19783|COX41_MOUSE#Cox5a_sp|P12787|COX5A_MOUSE#Cox5b_sp|P19536|COX5B_MOUSE#Cox6b1_sp|P56391|CX6B1_MOUSE#Cox6c_sp|Q9CPQ1|COX6C_MOUSE#Cox7a2_sp|P48771|CX7A2_MOUSE#Cox7c_sp|P17665|COX7C_MOUSE#Grin2a_sp|P35436|NMDE1_MOUSE#Itpr1_sp|P11881|ITPR1_MOUSE#Itpr2_sp|Q9Z329|ITPR2_MOUSE#mt-Co3_sp|P00416|COX3_MOUSE#Nos1_sp|Q9Z0J4|NOS1_MOUSE"
"6","M16894","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",3,0.00218056162410122,0.0465186479808261,"C8a#Serpina1b#Serpina1e","C8a_sp|Q8K182|CO8A_MOUSE#Serpina1b_sp|P22599|A1AT2_MOUSE#Serpina1e_sp|Q00898|A1AT5_MOUSE"
"7","M3115","KEGG_LONG_TERM_POTENTIATION",7,0.0039279946797446,0.0718261884296156,"Camk2a#Camk2b#Camk2g#Grin2a#Itpr1#Itpr2#Ppp1r12a","Camk2a_sp|P11798-2|KCC2A_MOUSE#Camk2b_tr|Q5SVJ0|Q5SVJ0_MOUSE#Camk2g_sp|Q923T9-2|KCC2G_MOUSE#Grin2a_sp|P35436|NMDE1_MOUSE#Itpr1_sp|P11881|ITPR1_MOUSE#Itpr2_sp|Q9Z329|ITPR2_MOUSE#Ppp1r12a_sp|Q9DBR7|MYPT1_MOUSE"
"8","M16817","KEGG_OOCYTE_MEIOSIS",5,0.0112061659454172,0.179298655126675,"Camk2a#Camk2b#Camk2g#Itpr1#Itpr2","Camk2a_sp|P11798-2|KCC2A_MOUSE#Camk2b_tr|Q5SVJ0|Q5SVJ0_MOUSE#Camk2g_sp|Q923T9-2|KCC2G_MOUSE#Itpr1_sp|P11881|ITPR1_MOUSE#Itpr2_sp|Q9Z329|ITPR2_MOUSE"
"9","M2890","KEGG_CALCIUM_SIGNALING_PATHWAY",12,0.0129825743903765,0.184641057996466,"Camk2a#Camk2b#Camk2g#Gna14#Grin2a#Itpr1#Itpr2#Mylk#Nos1#Ppid#Vdac2#Vdac3","Camk2a_sp|P11798-2|KCC2A_MOUSE#Camk2b_tr|Q5SVJ0|Q5SVJ0_MOUSE#Camk2g_sp|Q923T9-2|KCC2G_MOUSE#Gna14_sp|P30677|GNA14_MOUSE#Grin2a_sp|P35436|NMDE1_MOUSE#Itpr1_sp|P11881|ITPR1_MOUSE#Itpr2_sp|Q9Z329|ITPR2_MOUSE#Mylk_sp|Q6PDN3|MYLK_MOUSE#Nos1_sp|Q9Z0J4|NOS1_MOUSE#Ppid_sp|Q9CR16|PPID_MOUSE#Vdac2_sp|Q60930|VDAC2_MOUSE#Vdac3_sp|Q60931|VDAC3_MOUSE"
"10","M835","KEGG_DILATED_CARDIOMYOPATHY",3,0.0147363180228477,0.18862487069245,"Tpm1#Tpm2#Tpm3","Tpm1_tr|F8WID5|F8WID5_MOUSE#Tpm2_sp|P58774-2|TPM2_MOUSE#Tpm3_sp|P21107|TPM3_MOUSE"
