dataset,query_uniprot_id,unique_targets_count,target_ids
solubility_down,G3UXL2,9,"Q9CS42, Q8C5R8, Q8R574, Q9D0M1, Q80SU7, E9Q3L2, Q91V24, Q5U430, Q8K440"
solubility_down,Q8C5R8,9,"G3UXL2, Q9CS42, Q8R574, Q9D0M1, Q80SU7, E9Q3L2, Q8K440, Q91V24, Q5U430"
solubility_down,Q9CS42,9,"G3UXL2, Q8C5R8, Q8R574, Q9D0M1, Q80SU7, E9Q3L2, Q91V24, Q8K440, Q5U430"
solubility_down,P15626,8,"Q8R5I6, Q80W21, P10649, E9Q3L2, Q80SU7, Q91V24, Q8K440, Q5U430"
solubility_down,P10649,8,"P15626, Q80W21, Q8R5I6, E9Q3L2, Q80SU7, Q5U430, Q8K440, Q91V24"
solubility_down,Q8R574,8,"Q9D0M1, Q9CS42, G3UXL2, Q8C5R8, E9Q3L2, Q80SU7, Q91V24, Q8K440"
solubility_down,Q80W21,8,"P15626, Q8R5I6, P10649, E9Q3L2, Q91V24, Q80SU7, Q5U430, Q8K440"
solubility_down,Q9D0M1,8,"Q8R574, Q9CS42, Q8C5R8, G3UXL2, Q91V24, E9Q3L2, Q80SU7, Q8K440"
solubility_down,Q8R5I6,8,"P15626, Q80W21, P10649, E9Q3L2, Q80SU7, Q91V24, Q8K440, Q5U430"
solubility_down,Q3UMR5,7,"Q91V24, E9Q3L2, Q80SU7, Q5U430, Q8K440, Q9JMH9, O35379"
solubility_down,Q6PHZ2,7,"P11798, Q923T9, P28652, Q80SU7, Q91V24, E9Q3L2, Q5U430"
solubility_down,A0A075B5M7,7,"A0A075B5N3, P03977, Q62230, A0A075B680, Q6PDN3, Q80SU7, Q91V24"
solubility_down,P11798,7,"Q6PHZ2, P28652, Q923T9, Q91V24, Q80SU7, E9Q3L2, Q5U430"
solubility_down,P28652,7,"Q923T9, Q6PHZ2, P11798, Q91V24, E9Q3L2, Q80SU7, Q5U430"
solubility_down,Q9JHI5,7,"Q8JZN5, Q91V24, E9Q3L2, Q8K440, Q80SU7, Q5U430, O35379"
solubility_down,Q923T9,7,"Q6PHZ2, P28652, P11798, Q91V24, Q80SU7, E9Q3L2, Q5U430"
solubility_down,Q8JZN5,7,"Q91V24, E9Q3L2, Q9JHI5, Q80SU7, Q8K440, Q5U430, O35379"
solubility_down,P51637,6,"P49817, E9Q3L2, O35379, Q8K440, Q80SU7, Q91V24"
solubility_down,P49817,6,"P51637, E9Q3L2, O35379, Q80SU7, Q8K440, Q91V24"
solubility_down,P28738,6,"Q61768, Q80SU7, E9Q3L2, Q91V24, Q5U430, Q8K440"
solubility_down,Q60931,6,"Q60930, Q5U458, Q62230, Q61703, Q8K440, Q91V24"
solubility_down,P97434,6,"Q80SU7, Q9JMH9, E9Q3L2, Q99KW3, Q91V24, Q5U430"
solubility_down,A0A075B5N3,6,"A0A075B5M7, P03977, Q62230, A0A075B680, Q6PDN3, Q5U430"
solubility_down,O08788,6,"E9Q3L2, Q91V24, Q80SU7, Q5U430, Q9JMH9, Q8K440"
solubility_down,B8QI36,6,"Q91V24, Q80SU7, E9Q3L2, Q5U430, Q9JMH9, Q8K440"
solubility_down,P14873,6,"Q8C052, Q80SU7, Q91V24, E9Q3L2, Q5U430, Q8K440"
solubility_down,P19783,6,"Q91W29, E9Q3L2, O35379, Q91V24, Q80SU7, Q8K440"
solubility_down,P18419,6,"Q8K440, Q80SU7, E9Q3L2, Q9JMH9, Q91V24, O35379"
solubility_down,P17665,6,"O35379, E9Q3L2, Q91V24, Q3TWI9, Q3UVL4, Q8K440"
solubility_down,P09690,6,"Q91V24, E9Q3L2, Q8K440, Q80SU7, Q5U430, O35379"
solubility_down,P00416,6,"Q91V24, O35379, E9Q3L2, Q8K440, Q80SU7, Q5U430"
solubility_down,P03977,6,"A0A075B5N3, A0A075B5M7, Q62230, Q91V24, Q80SU7, Q6PDN3"
solubility_down,P36371,6,"Q91V24, O35379, E9Q3L2, Q8K440, Q80SU7, Q5U430"
solubility_down,Q61033,6,"Q91V24, E9Q3L2, Q80SU7, Q5U430, O35379, Q8K440"
solubility_down,Q3UVL4,6,"Q91V24, E9Q3L2, Q80SU7, Q5U430, O35379, Q8K440"
solubility_down,Q61768,6,"P28738, Q80SU7, E9Q3L2, Q5U430, Q91V24, Q8K440"
solubility_down,Q62172,6,"Q80SU7, E9Q3L2, Q91V24, Q5U430, Q8K440, Q9JMH9"
solubility_down,Q6ZPY2,6,"E9Q3L2, Q91V24, Q80SU7, Q5U430, Q8K440, O35379"
solubility_down,Q791T5,6,"Q91V24, E9Q3L2, Q5U430, Q8K440, O35379, Q80SU7"
solubility_down,Q62293,6,"Q80SU7, E9Q3L2, Q8K440, Q91V24, Q5U430, O35379"
solubility_down,Q6A065,6,"Q80SU7, Q91V24, E9Q3L2, Q5U430, Q8K440, Q9JMH9"
solubility_down,Q91YI0,6,"Q91V24, E9Q3L2, Q80SU7, Q5U430, Q8K440, O35379"
solubility_down,Q8R079,6,"Q91V24, E9Q3L2, Q80SU7, Q5U430, Q8K440, O35379"
solubility_down,Q9CQX2,6,"Q91V24, E9Q3L2, Q5U430, Q80SU7, O35379, Q8K440"
solubility_down,Q9CQB5,6,"Q91V24, E9Q3L2, Q5U430, Q8K440, Q80SU7, O35379"
solubility_down,Q8CAQ8,6,"E9Q3L2, Q80SU7, Q91V24, Q9JMH9, O35379, Q5U430"
solubility_down,Q8CHK3,6,"Q91V24, E9Q3L2, Q8K440, Q5U430, O35379, Q80SU7"
solubility_down,Q8BTS4,6,"Q80SU7, E9Q3L2, Q91V24, Q5U430, Q8K440, O35379"
solubility_down,Q8BFZ9,6,"Q91X78, Q80SU7, E9Q3L2, Q8K440, Q91V24, Q5U430"
solubility_down,Q3TWI9,6,"Q91V24, E9Q3L2, Q80SU7, Q8K440, O35379, Q5U430"
solubility_down,Q3U186,6,"Q91V24, E9Q3L2, Q80SU7, Q5U430, Q8K440, O35379"
solubility_down,Q4VBD2,6,"E9Q3L2, Q91V24, Q80SU7, Q8K440, O35379, Q5U430"
solubility_down,Q9D0L8,6,"Q80SU7, E9Q3L2, Q91V24, Q5U430, Q8K440, O35379"
solubility_down,Q99KW3,6,"P97434, Q91V24, Q80SU7, E9Q3L2, Q9JMH9, Q5U430"
solubility_down,Q99L43,6,"E9Q3L2, Q91V24, Q8K440, O35379, Q80SU7, Q5U430"
solubility_down,Q8C522,6,"Q91V24, E9Q3L2, Q80SU7, Q8K440, Q5U430, O35379"
solubility_down,Q8C2L6,6,"Q91V24, E9Q3L2, Q8K440, Q80SU7, O35379, Q5U430"
solubility_down,Q9D710,6,"E9Q3L2, Q91V24, Q80SU7, O35379, Q8K440, Q5U430"
solubility_down,Q99JH8,6,"E9Q3L2, Q91V24, Q8K440, O35379, Q80SU7, Q5U430"
solubility_down,O35379,5,"Q91V24, E9Q3L2, Q8K440, Q80SU7, Q5U430"
solubility_down,O35678,5,"Q91V24, E9Q3L2, Q80SU7, Q5U430, Q8K440"
solubility_down,P01901,5,"P14427, Q91V24, E9Q3L2, Q62230, Q80SU7"
solubility_down,P01867,5,"P01863, Q62230, Q91V24, Q80SU7, Q8K440"
solubility_down,O70373,5,"Q91V24, Q80SU7, E9Q3L2, Q5U430, Q8K440"
solubility_down,A3KMP2,5,"E9Q3L2, Q91V24, Q80SU7, Q5U430, Q8K440"
solubility_down,Q9Z2L6,5,"Q91V24, E9Q3L2, Q80SU7, Q5U430, Q8K440"
solubility_down,Q9Z0J4,5,"Q91V24, E9Q3L2, Q80SU7, Q5U430, Q8K440"
solubility_down,Q9CQ22,5,"E9Q3L2, Q80SU7, Q9JMH9, Q91V24, Q5U430"
solubility_down,Q9CY50,5,"Q91V24, E9Q3L2, Q80SU7, Q5U430, Q8K440"
